Country,First dose,Second dose,Booster
Argentina,90%,80%,37%
Australia,87%,81%,44%
Austria,76%,74%,56%
Bahrain,75%,73%,58%
Belgium,80%,79%,61%
Bhutan,78%,75%,46%
Brazil,84%,73%,30%
Cambodia,87%,84%,44%
Canada,87%,82%,46%
Chile,94%,91%,73%
Colombia,82%,66%,16%
Costa Rica,82%,75%,20%
Cuba,94%,87%,52%
Denmark,83%,81%,62%
Ecuador,85%,78%,23%
England,91%,85%,66%
Fiji,75%,69%,0%
Finland,81%,76%,50%
France,80%,78%,53%
Germany,76%,75%,57%
Hong Kong,79%,69%,20%
Iceland,86%,80%,69%
Iran,76%,67%,27%
Ireland,82%,80%,57%
Israel,74%,68%,57%
Italy,84%,79%,62%
Japan,81%,79%,17%
Kuwait,80%,78%,9.1%
Luxembourg,77%,70%,58%
Macau,82%,77%,17%
Mainland China,91%,88%,33%
Malaysia,84%,81%,45%
Maldives,75%,70%,22%
Malta,93%,92%,68%
Mauritius,78%,75%,33%
Morocco,68%,64%,14%
Nepal,75%,60%,3.6%
Netherlands,78%,71%,52%
New Zealand,86%,81%,47%
Northern Ireland,89%,83%,61%
Norway,81%,75%,54%
Panama,75%,60%,27%
Peru,78%,72%,29%
Portugal,94%,91%,60%
Samoa,74%,66%,0%
Saudi Arabia,75%,70%,29%
Scotland,93%,87%,71%
Singapore,87%,86%,63%
South Korea,87%,86%,60%
Spain,87%,83%,51%
Sri Lanka,77%,65%,31%
Sweden,76%,74%,47%
Taiwan,81%,75%,39%
Thailand,77%,71%,29%
Turkmenistan,74%,54%,0%
United Arab Emirates,99%,97%,48%
United Kingdom,79%,73%,57%
United States,76%,65%,28%
Uruguay,86%,79%,55%
Venezuela,78%,50%,1.4%
Vietnam,82%,80%,38%
Wales,92%,87%,71%
Turkey,86%,62%,42%
Tunisia,60%,53%,5%
Nigeria,9%,4%,0%